127.0.0.1 - - [28/Feb/2024:10:09:01 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:09:05 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:09:05 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:09:42 +0900] "GET /clientweb/html/formtest.html?id=adf&pass=ad HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:15:26 +0900] "GET /clientweb/html/formtest.html?id=adf&pass=ad HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:15:28 +0900] "GET /clientweb/html/formtest.html?id=adf&pass=ad HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:15:30 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:15:31 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:16:07 +0900] "POST /clientweb/html/formtest.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:17:30 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:17:39 +0900] "POST /clientweb/html/formtest.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:18:00 +0900] "POST /clientweb/html/formtest.html HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:18:06 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:18:12 +0900] "POST /clientweb/login.do HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:26:27 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:26:30 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:27:16 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:27:45 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:27:47 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:27:47 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:27:47 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:27:48 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:32:04 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:33:26 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:33:28 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:33:31 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:33:41 +0900] "GET /clientweb/login.do?id=bts&info=adf HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:34:14 +0900] "GET /clientweb/login.do?id=bts&info=adf HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:34:18 +0900] "GET /clientweb/login.do?id=bts&info=adf HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [28/Feb/2024:10:34:22 +0900] "GET /clientweb/html/formtest.html HTTP/1.1" 200 823
