127.0.0.1 - - [03/Mar/2024:23:07:13 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:07:13 +0900] "GET /clientweb/css/css_boxmodel_test2.html HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:07:14 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:09:34 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 200 4675
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:09:34 +0900] "GET /clientweb/images/logo.jpg HTTP/1.1" 200 5676
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:13:40 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 200 3054
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:15:33 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:15:35 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:15:35 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:15:36 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:15:36 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:15:36 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:16:53 +0900] "GET /clientweb/css/css_background_test.html HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:16:53 +0900] "GET /clientweb/common/css/myback.css HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:21:28 +0900] "GET /clientweb/css/css_basic_test1.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:21:28 +0900] "GET /clientweb/common/css/mystyle.css HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:21:55 +0900] "GET /clientweb/css/css_boxmodel_tes1.html HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:21:55 +0900] "GET /clientweb/images/bts1.jpg HTTP/1.1" 200 27103
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:22:31 +0900] "GET /clientweb/css/css_boxmodel_tes1.html HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:23:37 +0900] "GET /clientweb/css/css_boxmodel_tes1.html HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:37:59 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:37:59 +0900] "GET /clientweb/common/css/boxexam.css HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:37:59 +0900] "GET /clientweb/common/images/backgfound.gif HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:39:08 +0900] "GET /clientweb/css/boxmodel_exam.html HTTP/1.1" 200 3777
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:39:08 +0900] "GET /clientweb/common/css/boxexam.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2024:23:39:08 +0900] "GET /clientweb/common/images/backgfound.gif HTTP/1.1" 404 858
